Altium Designer Pick and Place Locations
C:\Users\DELL-TTIY\Documents\WeChat Files\wxid_nsxhg575u6g622\FileStorage\File\2021-07\plan B\planB 0723\Pick Place for HiLink planB.csv

========================================================================================================================
File Design Information:

Date:       23/07/21
Time:       15:53
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C25","100nF","TopLayer","0402电容","92.0192","93.6636","180","无极性贴片电容"
"R33","0R","TopLayer","0603电容","69.3987","82.2594","360","无极性电容"
"R32","0R","TopLayer","0603电容","88.7930","82.0684","90","无极性电容"
"R31","1K","TopLayer","0402电阻","68.6769","85.2640","270","R0402贴片电阻"
"Q5","2N3904","TopLayer","SOP-23","70.9695","84.7129","270","NPN General Purpose Amplifier"
"C32","100NF","TopLayer","0402电容","73.0575","113.4071","360","无极性贴片电容"
"R30","7.5M","TopLayer","0402电阻","73.0167","112.1770","360","电阻"
"R29","1K","TopLayer","0402电阻","75.2704","111.3138","180","电阻"
"R28","7.5M","TopLayer","0402电阻","75.2518","113.8929","180","电阻"
"C31","10NF","TopLayer","0402电容","75.2080","112.6255","180","无极性贴片电容"
"C30","10nF","TopLayer","0402电容","86.4444","97.7825","270","无极性贴片电容"
"U1","TP4101","TopLayer","SOT23-6","91.7057","106.5804","270",""
"P8","","TopLayer","USB-C-SMD_TYPE-C16PIN","82.5944","115.9833","180",""
"C27","47uF","TopLayer","0603电容","87.3457","86.0274","180","无极性电容"
"C12","100PF","TopLayer","0402电容","74.0487","103.9425","90","无极性贴片电容"
"C98","47uF","TopLayer","0603电容","87.7965","93.7640","90","无极性电容"
"C26","22uF","TopLayer","0603电容","91.8201","95.5260","360","无极性电容"
"C24","22uF","TopLayer","0603电容","93.8999","110.0745","90","无极性电容"
"C6","100nf","TopLayer","0402电容","92.2435","85.0680","180","CCX85-103"
"U5","SGM8634XTS14/TR","TopLayer","SGM8634","74.7491","93.8426","180","SGM8634XTS14/TR  TSSOP-14"
"U2","BL8503-30PSM","TopLayer","AMS1117-3.3","90.5680","89.5355","180",""
"S1","SW-PB","TopLayer","开关","82.6586","102.2926","0","Switch"
"R25","2.2K","TopLayer","0402电阻","84.9652","97.7294","270","R0402贴片电阻"
"R22","333R","TopLayer","0402电阻","86.0001","84.1091","180","R0402贴片电阻"
"R20","100K","TopLayer","0402电阻","79.1717","91.7891","270","Resistor"
"R19","100K","TopLayer","0402电阻","80.6429","91.7893","90","Resistor"
"R18","1K/0402/1%","TopLayer","0402电阻","78.6632","86.6847","360","R0402贴片电阻"
"R17","20M/0402/1%","TopLayer","0402电阻","76.4075","87.9599","360","R0402贴片电阻"
"R16","10R/0402/1%","TopLayer","0402电阻","74.5307","87.6766","90","电阻"
"R15","26.1k/0402/1%","TopLayer","0402电阻","70.2180","87.4358","360","R0402贴片电阻"
"R13","620K/0402/1%","TopLayer","0402电阻","70.2180","95.2075","360","R0402贴片电阻"
"R12","470K/0402/1%","TopLayer","0402电阻","70.2180","96.5857","180","R0402贴片电阻"
"R11","220K/0402/1%","TopLayer","0402电阻","70.0458","100.7297","270","R0402贴片电阻"
"R10","200K/0402/1%","TopLayer","0402电阻","79.1899","96.1470","270","R0402贴片电阻"
"R9","10K/0402/1%","TopLayer","0402电阻","74.0323","100.7242","90","R0402贴片电阻"
"R8","7M5/0402/1%","TopLayer","0402电阻","76.3530","100.2278","360","R0402贴片电阻"
"R7","20M/0402/1%","TopLayer","0402电阻","75.3928","103.8347","90","R0402贴片电阻"
"R4","300K","TopLayer","0402电阻","92.2964","83.8455","360","Resistor"
"R3","1M","TopLayer","0402电阻","92.3029","82.6476","180","Resistor"
"R2","3k","TopLayer","0402电阻","88.1717","107.0606","270","R0402贴片电阻"
"R1","330R","TopLayer","0402电阻","90.2955","113.1027","90","R0402贴片电阻"
"P3","Header 4","TopLayer","HDR1X4","72.8659","62.2411","180","Header, 4-Pin"
"D2","LED0","TopLayer","LED-0603","82.5727","84.0659","360","Typical INFRARED GaAs LED"
"D1","LED0","TopLayer","LED-0603","92.1557","113.8890","270","Typical INFRARED GaAs LED"
"C23","100NF","TopLayer","0402电容","78.7325","87.9514","180","无极性贴片电容"
"C22","100NF","TopLayer","0402电容","73.0406","87.7601","90","无极性贴片电容"
"C21","10nF","TopLayer","0402电容","76.5108","86.7096","360","无极性贴片电容"
"C20","47uF","TopLayer","0603电容","69.7060","89.1553","180","无极性电容"
"C19","47uF","TopLayer","0603电容","69.7060","91.0421","180","无极性电容"
"C18","33nF","TopLayer","0402电容","70.3214","93.8972","180","无极性贴片电容"
"C17","390nF","TopLayer","0402电容","70.3042","92.6898","360","无极性贴片电容"
"C16","100pF","TopLayer","0402电容","71.5625","100.6504","90","无极性贴片电容"
"C15","33nF","TopLayer","0402电容","68.7566","100.6263","270","无极性贴片电容"
"C14","10uF","TopLayer","0402电容","72.8063","100.6302","90","无极性贴片电容"
"C13","100nF","TopLayer","0402电容","76.4207","101.4341","360","无极性贴片电容"
"C11","10nF","TopLayer","0402电容","76.7060","103.9380","270","无极性贴片电容"
"C10","10nF","TopLayer","0402电容","91.9516","78.8553","360","无极性贴片电容"
"C9","100nF","TopLayer","0402电容","91.9821","77.3427","360","无极性贴片电容"
"C8","10nF","TopLayer","0402电容","78.0044","93.0562","270","无极性贴片电容"
"C7","100nF","TopLayer","0402电容","86.2655","93.5820","90","无极性贴片电容"
"C5","10uF","TopLayer","0402电容","95.1953","103.1929","180","无极性贴片电容"
"C4","100pF","TopLayer","0402电容","95.1769","101.9469","180","无极性贴片电容"
"C3","100nF","TopLayer","0402电容","92.0283","97.3462","180","无极性贴片电容"
"C2","100nF","TopLayer","0402电容","95.8387","108.1556","360","无极性贴片电容"
"BAT","Header 2H","TopLayer","HDR1X2H","91.2835","63.4347","360","Header, 2-Pin, Right Angle"
"R14","10k","TopLayer","0402电阻","84.5367","107.8966","360","R0402贴片电阻"
"R21","10k","TopLayer","0402电阻","84.0777","106.3054","90","R0402贴片电阻"
"U4","Comment","TopLayer","CST92F32","79.5267","74.0096","90",""
"R23","0.3R","TopLayer","0603电容","91.6868","109.9846","270","无极性电容"
"C28","100nF","TopLayer","0402电容","82.6382","106.2888","270","无极性贴片电容"
"C34","10nF","TopLayer","0402电容","74.2478","107.8650","270","无极性贴片电容"
"Q100","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","TopLayer","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","82.7345","96.9250","270",""
"R27","100K","TopLayer","0402电阻","85.4962","95.8869","180","R0402贴片电阻"
"R26","1K","TopLayer","0402电阻","76.5050","85.1185","360","R0402贴片电阻"
"U100","","TopLayer","SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL","70.4787","107.3239","180",""
"C99","10NF","TopLayer","0402电阻","75.2573","115.2472","360","R0402贴片电阻"
